"","SP500","FTSE100"
"1005",567.75,1182.33
"1006",567.18,1196.98
"1007",564.81,1194.86
"1008",564.53,1191.1
"1009",566.71,1191.89
"1010",563.53,1189.62
"1011",562.07,1200.76
"1012",563.91,1212.64
"1013",567.62,1222.11
"1014",566.99,1232.28
"1015",566.33,1224.04
"1016",568.79,1228.92
"1017",568.87,1243.87
"1018",568.87,1249.66
"1019",573.1,1249.66
"1020",573.6,1249.66
"1021",573.18,1267.84
"1022",570.84,1255.69
"1023",568.2,1251.9
"1024",567.09,1251.9
"1025",569.07,1248.59
"1026",569.9,1237.86
"1027",569.37,1246.59
"1028",572.76,1262.32
"1029",579.37,1260.34
"1030",577.98,1250.52
"1031",578.03,1235.22
"1032",576.01,1230.82
"1033",579.04,1245.68
"1034",577.07,1249.11
"1035",578.24,1259.81
"1036",578.31,1273.79
"1037",579.14,1271.9
"1038",578.82,1277.11
"1039",575.54,1276.09
"1040",574.32,1262.36
"1041",577.12,1259.47
"1042",581.82,1256.23
"1043",583.85,1263.63
"1044",587.52,1280
"1045",585.26,1276.2
"1046",588.19,1290.42
"1047",586.69,1279.87
"1048",573.68,1273.99
"1049",576.2,1253.33
"1050",575.36,1261.07
"1051",577.61,1257.01
"1052",572.96,1248.88
"1053",574.51,1238.59
"1054",574.71,1234.2
"1055",577.64,1245.07
"1056",578,1254.09
"1057",575.01,1256.88
"1058",571.87,1241.21
"1059",571.87,1229.33
"1060",576.58,1223.27
"1061",575.75,1226.25
"1062",567.91,1198.95
"1063",570.14,1203.98
"1064",571.57,1223.62
"1065",568.33,1202.48
"1066",569,1194.19
"1067",566.83,1193.6
"1068",569,1205.18
"1069",571.72,1215.45
"1070",570.48,1200.18
"1071",572.17,1193.67
"1072",568.32,1188.97
"1073",571.44,1173.55
"1074",572.62,1194.7
"1075",572.21,1207.27
"1076",575.19,1198.21
"1077",577.03,1202.97
"1078",577.23,1189.06
"1079",574.14,1181.63
"1080",574.46,1182.93
"1081",574.15,1165.86
"1082",569.02,1153.45
"1083",564.72,1156.13
"1084",564.01,1158.53
"1085",554.84,1156.29
"1086",546.36,1144.8
"1087",546.65,1142.58
"1088",546.65,1142.58
"1089",538.37,1142.58
"1090",550.02,1153.76
"1091",549.72,1159.4
"1092",553.2,1158.47
"1093",548.6,1155.43
"1094",552.05,1168.59
"1095",549.25,1172.16
"1096",547.65,1167.22
"1097",547.84,1162
"1098",547.59,1175.59
"1099",543.08,1164.4
"1100",543.2,1160.64
"1101",542.49,1149.63
"1102",550.81,1150.71
"1103",549.45,1162.75
"1104",555.77,1153.64
"1105",554.83,1160.76
"1106",554.83,1169.93
"1107",551.44,1162.48
"1108",553.66,1160.79
"1109",556.44,1160.79
"1110",556.54,1151.36
"1111",555,1140.43
"1112",554.78,1153.59
"1113",550.46,1153.62
"1114",544.14,1150.57
"1115",548.72,1164.86
"1116",543.2,1162.71
"1117",546.01,1165.42
"1118",546.5,1158.51
"1119",547.1,1159.36
"1120",553.21,1162.3
"1121",558.56,1159.7
"1122",562.02,1162.04
"1123",560.35,1163.71
"1124",558.3,1156.69
"1125",560.39,1149.5
"1126",562.43,1124.04
"1127",563.32,1123.68
"1128",563.76,1103.84
"1129",563.76,1103.84
"1130",562.75,1105.36
"1131",564.19,1090.99
"1132",564.34,1109.19
"1133",567.43,1115.52
"1134",566.01,1123.61
"1135",565.21,1121.89
"1136",563.8,1134.36
"1137",565.05,1130.89
"1138",566.06,1140.96
"1139",566.61,1126.2
"1140",570.68,1134.9
"1141",568.53,1137.21
"1142",570.2,1131.33
"1143",565.91,1128.67
"1144",562.25,1110.9
"1145",557.14,1099.35
"1146",559.3,1106.91
"1147",555.04,1100.19
"1148",546.85,1075.57
"1149",552.49,1084.28
"1150",551.1,1087.71
"1151",553.08,1101.62
"1152",548.96,1091.48
"1153",551.47,1097.93
"1154",551.47,1111.26
"1155",551.83,1109.22
"1156",551.55,1102.36
"1157",554.33,1108.98
"1158",555.77,1108.25
"1159",554,1116.24
"1160",553.87,1108.81
"1161",554.83,1124.31
"1162",560.68,1141.16
"1163",561.6,1150.29
"1164",562.97,1154.16
"1165",561.31,1157.63
"1166",558.52,1152.36
"1167",559.77,1159.06
"1168",560.39,1166.39
"1169",561.89,1165.48
"1170",560.86,1169.62
"1171",559.92,1156.55
"1172",561.97,1161.63
"1173",566.98,1156.65
"1174",570.54,1162.57
"1175",570.16,1185.13
"1176",571.29,1186.21
"1177",567.67,1182.5
"1178",566.07,1188.88
"1179",567.19,1192.8
"1180",567.51,1191.58
"1181",570.5,1190.95
"1182",568.76,1180.14
"1183",572.59,1181.69
"1184",571.89,1182.92
"1185",576.66,1184.84
"1186",576.89,1201.03
"1187",574.43,1198.16
"1188",575.08,1201.44
"1189",573.46,1194.14
"1190",576.19,1195.55
"1191",581.83,1206.9
"1192",580.74,1217.81
"1193",587.96,1229.47
"1194",589.05,1229.47
"1195",590.93,1224.11
"1196",590.23,1224.77
"1197",587.45,1211.65
"1198",584.91,1213.99
"1199",584.91,1221.66
"1200",586.02,1208.09
"1201",584.91,1207.49
"1202",587.64,1198.5
"1203",581.74,1183.15
"1204",579.33,1179.75
"1205",580.97,1176.96
"1206",582.57,1161.28
"1207",590.08,1173.67
"1208",585.59,1155.75
"1209",585.4,1164.02
"1210",576.11,1148.23
"1211",573.75,1139.72
"1212",573.52,1142.15
